"","mean detection","sd detection","q025","q5","q975","diff"
"Abia americana",0.229841710739021,0.269850679452221,0.00198600746039156,0.10196647554855,0.91857644628135,0.916590438820959
"Ablabesmyia monilis",0.677030091280959,0.244566499153411,0.147504394705639,0.734587810393368,0.991945642618881,0.844441247913242
"Ablabesmyia sp. BOLD:ACG3931",0.185397331792889,0.162269557608781,0.0205322980466012,0.13006447688243,0.623573156813907,0.603040858767306
"Ablabesmyia sp. BOLD:ACT7851",0.240476486402112,0.272227949856155,0.00233240674969254,0.114673100970941,0.919295284754572,0.91696287800488
"Acartophthalmus nigrinus",0.586949650036548,0.272101269129927,0.079535984985754,0.614685732408898,0.984832318950059,0.905296333964305
"Achorotile sp. BOLD:ACU1499",0.228658421463641,0.267466981820425,0.00221196189397307,0.0954466156221161,0.885087733349157,0.882875771455184
"Aclastus sp. BOLD:AAA9140",0.183123918171515,0.187292668105021,0.00828962583325597,0.110175059554545,0.694538173547971,0.686248547714715
"Acleris schalleriana",0.197554011216574,0.200834263362578,0.0120099938670978,0.12060510874013,0.757912494020625,0.745902500153528
"Aclista sp. SlikokOtu1060",0.194641030725066,0.197699011446932,0.0100797814182256,0.116372582215682,0.731232094402874,0.721152312984648
"Acrididae sp. SlikokOtu1901",0.244267278778962,0.271275495453991,0.00180546317687436,0.122946014230739,0.917788937269353,0.915983474092478
"Adelius sp. BOLD:AAG0698",0.313419208045837,0.289924027686405,0.0134815634500162,0.201891605674531,0.945066486768302,0.931584923318286
"Aedes abserratus",0.24086670375898,0.278166094811179,0.00211601121476465,0.105106004619105,0.928994580161842,0.926878568947077
"Aedes sp. BOLD:AAB1098",0.240382495901076,0.273458383118533,0.00273184932243185,0.114764915269318,0.929783624562757,0.927051775240325
"Aedes sp. SlikokOtu1256",0.231171231322007,0.267072878353993,0.00176991978313094,0.106904246763401,0.901333908437624,0.899563988654493
"Aedes sp. SlikokOtu1817",0.247608529381585,0.273032744855189,0.00225841265137892,0.123809789826918,0.929139605277993,0.926881192626615
"Agromyzidae sp. BOLD:AAV4890",0.194308059892631,0.192071238387498,0.0116216549165931,0.120316779032204,0.711142803742119,0.699521148825526
"Agromyzidae sp. SlikokOtu742",0.247319932353377,0.271680299891775,0.00290724987486661,0.132401372794069,0.927338118710672,0.924430868835806
"Agromyzidae sp. SlikokOtu764",0.235025214825949,0.276189761439048,0.0021653636766487,0.102886356484103,0.9292536753766,0.927088311699951
"Allantus albolabris",0.24234687886555,0.275461264294752,0.00254633506632819,0.110823712659339,0.910927354907832,0.908381019841504
"Alliopsis silvestris",0.191485307542165,0.200007863815133,0.0105060889142886,0.112807688162734,0.756893287418604,0.746387198504315
"Allodia czernyi",0.181282018015338,0.160240316506468,0.0193673489769724,0.127393836300322,0.643566916991199,0.624199568014226
"Allodia sp. BOLD:AAG4945",0.191037564779216,0.196538520295576,0.0101526074532329,0.116921876067201,0.756997958575353,0.746845351122121
"Allodia sp. BOLD:ACC5209",0.326756455680742,0.291041047578303,0.0142157732388868,0.222690200900558,0.955159068603415,0.940943295364528
"Allodia sp. BOLD:ACI6426",0.242582750914429,0.208380447271233,0.0237565442508434,0.169144179603807,0.773800570032788,0.750044025781944
"Allodia sp. BOLD:ACJ1830",0.198690268286871,0.195754252401896,0.0120936650790203,0.126033469720746,0.723679238252317,0.711585573173297
"Allodia sp. BOLD:ADN8722",0.233599201507801,0.268591199469904,0.00203053077781121,0.109149024334685,0.91982182307555,0.917791292297739
"Allodia sp. SlikokOtu1175",0.216966590013966,0.262606436251607,0.00192749913960176,0.0905876895497233,0.907573264737366,0.905645765597764
"Alopecosa aculeata",0.245682375876814,0.27512185858699,0.00221964865961209,0.122984514622333,0.917653539015693,0.915433890356081
"Altica tombacina",0.57701605302055,0.281336994396072,0.068299304385083,0.600932241271914,0.985252135726033,0.91695283134095
"Amauronematus fallax",0.231205710054625,0.265091034309667,0.00244499958671148,0.10787205740546,0.911718192601932,0.90927319301522
"Anacharis eucharoides",0.198335242750888,0.201105178442874,0.00920107039424589,0.121731009097116,0.74374358441547,0.734542514021225
"Ancylis sp. BOLD:ACE7743",0.236513702786705,0.271364153885862,0.00205207034442213,0.114891237520998,0.925759967193147,0.923707896848725
"Anthomyza pengellyi",0.20191055754664,0.199232758163914,0.00975128259072387,0.123127121548511,0.729740211235013,0.71998892864429
"Anticlea vasiliata",0.249845960805453,0.272729565576027,0.00249052481999984,0.127448531367838,0.93497870168,0.93248817686
"Aperileptus infuscatus",0.385485228554,0.296746918719755,0.0266745586837193,0.303939733743181,0.96347347032594,0.936798911642221
"Aperileptus sp. jft05",0.234553856996625,0.266572919669126,0.00191658329281889,0.116707843240495,0.91990705407402,0.917990470781201
"Aphididae sp. SlikokOtu2151",0.235367152797548,0.263917390469529,0.00280447804237771,0.116592657989418,0.914403771743888,0.91159929370151
"Aphidius ervi",0.205980794837683,0.144878769448645,0.0425168443645086,0.164726568846188,0.60656687971886,0.564050035354352
"Aphidius salicis",0.199367426096119,0.199650123257187,0.0106881401014105,0.121565019398235,0.729135631979217,0.718447491877807
"Aphidius sp. BOLD:ABX6188",0.313315973708889,0.286246696083534,0.013508547114768,0.208940417120603,0.95323676383297,0.939728216718202
