"","mean occ diff","sd mean occ diff","q025","q5","q975","diff"
"Abia americana",-0.0406238288732406,0.363318401615687,-0.808413199547214,-0.032861628140424,0.746630584013895,1.55504378356111
"Ablabesmyia monilis",-0.0576785410889099,0.274544782395704,-0.767366951014349,0.0214667834047065,0.360686567480826,1.12805351849517
"Ablabesmyia sp. BOLD:ACG3931",0.185489309990106,0.352107514128485,-0.596442640619048,0.166441917269424,0.841799345288875,1.43824198590792
"Ablabesmyia sp. BOLD:ACT7851",-0.102115169820767,0.364110717971569,-0.832665481052044,-0.0840991468346625,0.690984402451472,1.52364988350352
"Acartophthalmus nigrinus",-0.130593254544227,0.287099426680882,-0.83275840947163,-0.0280279276348643,0.297184607163366,1.129943016635
"Achorotile sp. BOLD:ACU1499",-0.330764244280411,0.347862967687982,-0.919177575284088,-0.341007139955641,0.428678464889857,1.34785604017395
"Aclastus sp. BOLD:AAA9140",0.108709589271021,0.364105568275791,-0.685228341958001,0.0858184326188152,0.841802122628628,1.52703046458663
"Acleris schalleriana",0.0909073978464184,0.351341067883536,-0.676283130508038,0.0704688603698918,0.827528488026859,1.5038116185349
"Aclista sp. SlikokOtu1060",0.101457790136138,0.366066572950613,-0.684969960275455,0.0777558598952219,0.854411646870454,1.53938160714591
"Acrididae sp. SlikokOtu1901",-0.0315209845671213,0.325035981786554,-0.727721177206133,-0.02569336356406,0.713764337160681,1.44148551436681
"Adelius sp. BOLD:AAG0698",0.0562604065879328,0.339432138227932,-0.692522480766847,0.0358710524138653,0.806876456542067,1.49939893730891
"Aedes abserratus",-0.357351159565365,0.344042326595849,-0.914877165162638,-0.376619535621841,0.420837167897489,1.33571433306013
"Aedes sp. BOLD:AAB1098",-0.0512503187540116,0.343905728442945,-0.834814203438748,-0.0343077911252674,0.702711850906851,1.5375260543456
"Aedes sp. SlikokOtu1256",-0.0425943641615185,0.350900709633455,-0.825499518939127,-0.0299380830175409,0.713206219115649,1.53870573805478
"Aedes sp. SlikokOtu1817",-0.0360422658566715,0.318550625788323,-0.769197719789854,-0.027490599387986,0.716503975236454,1.48570169502631
"Agromyzidae sp. BOLD:AAV4890",0.134114118482792,0.343108633469938,-0.630784741846739,0.0996581082215335,0.846515321687538,1.47730006353428
"Agromyzidae sp. SlikokOtu742",-0.0660750255850499,0.344124419651133,-0.79404121807127,-0.0410226988176323,0.697989708398346,1.49203092646962
"Agromyzidae sp. SlikokOtu764",-0.0154685363504504,0.338784146995871,-0.76028548411014,-0.0210155760549293,0.750271897232595,1.51055738134274
"Allantus albolabris",-0.0880855239466469,0.354729574984913,-0.816301931234943,-0.0723167679741018,0.707220485269449,1.52352241650439
"Alliopsis silvestris",0.118629668540629,0.348564870461305,-0.675785362751518,0.0869396714074095,0.830811677009706,1.50659703976122
"Allodia czernyi",0.194404959147362,0.34140003558622,-0.560690865628159,0.176136970701267,0.854530962922224,1.41522182855038
"Allodia sp. BOLD:AAG4945",0.0648025499054322,0.379287480805593,-0.764650116323666,0.0491183378049245,0.807522545155611,1.57217266147928
"Allodia sp. BOLD:ACC5209",0.0545734295009953,0.334799633866764,-0.700791280926374,0.0373276989294193,0.793070656548494,1.49386193747487
"Allodia sp. BOLD:ACI6426",0.14561570670561,0.349361345095741,-0.602326004498094,0.119807891449998,0.840617655381757,1.44294365987985
"Allodia sp. BOLD:ACJ1830",0.080227591944823,0.355017723936085,-0.722961697957322,0.071286230246676,0.798900597138697,1.52186229509602
"Allodia sp. BOLD:ADN8722",-0.0536430311195245,0.34488183977069,-0.81641805726559,-0.0344292351102882,0.679471188046992,1.49588924531258
"Allodia sp. SlikokOtu1175",0.00568989092765907,0.358786679949861,-0.767460871653749,-0.0130596636408414,0.782499966578723,1.54996083823247
"Alopecosa aculeata",-0.117337913794511,0.354276689994082,-0.849275320539433,-0.0845197537637679,0.640042361708422,1.48931768224786
"Altica tombacina",-0.284264335777154,0.297764216386456,-0.882427959557424,-0.22645839505018,0.228900020483453,1.11132798004088
"Amauronematus fallax",0.017825595784789,0.324672099996229,-0.672429505709899,-0.00751000384263358,0.758477284903702,1.4309067906136
"Anacharis eucharoides",0.0789535112902614,0.36240352405268,-0.75259580611403,0.0747404197046526,0.817688049995332,1.57028385610936
"Ancylis sp. BOLD:ACE7743",-0.0816434783813664,0.346339871805289,-0.780871282101561,-0.0709554149621065,0.692006756275249,1.47287803837681
"Anthomyza pengellyi",0.196206080640172,0.281126885688732,-0.2535093465,0.118303482967129,0.852719693532291,1.10622904003229
"Anticlea vasiliata",-0.155990615471799,0.355713312726999,-0.879379878550712,-0.11570349125316,0.633821693823394,1.51320157237411
"Aperileptus infuscatus",-0.0708589003429114,0.36671648883371,-0.79933444821828,-0.0439209393842773,0.700436258785407,1.49977070700369
"Aperileptus sp. jft05",-0.113908982345389,0.340559798580893,-0.819356573190892,-0.0785871144984183,0.635925338601486,1.45528191179238
"Aphididae sp. SlikokOtu2151",-0.115921910120402,0.357927891012382,-0.822100292547119,-0.0957629532781398,0.714261572014523,1.53636186456164
"Aphidius ervi",0.278872089524433,0.355935414919638,-0.530347359357948,0.292691311706485,0.901353658092317,1.43170101745026
"Aphidius salicis",0.0956327118019264,0.360366245955788,-0.699322345784026,0.0783684605703512,0.831231927469622,1.53055427325365
"Aphidius sp. BOLD:ABX6188",-0.0372211939429453,0.37670869509821,-0.797402789393396,-0.0278270940551993,0.776804687463021,1.57420747685642
"Aphidius sp. cf. schimitscheki",0.0754864610354917,0.349324652940813,-0.708885963189617,0.0592591893954023,0.805904657222948,1.51479062041257
"Araneus marmoreus",0.111704620035308,0.347090487790281,-0.60174754705857,0.0787621949719887,0.869383853582829,1.4711314006414
"Araneus trifolium",-0.0136149471791128,0.352307271959949,-0.752991032601778,-0.0248413430779888,0.800221424674294,1.55321245727607
"Araneus yukon",0.0729358484687194,0.368864523912811,-0.711549273834725,0.0621720413837877,0.834176029711991,1.54572530354672
"Araniella displicata",0.0400621162369638,0.354272697721248,-0.711454969111241,0.0373516329209478,0.7635890054415,1.47504397455274
"Araniella proxima",0.00199047485195927,0.360084439033533,-0.729610769756418,0.00507039279774206,0.758770457474253,1.48838122723067
"Arganthomyza duplex",0.152909603445095,0.353026575960804,-0.575854896893503,0.176843289236064,0.78083540239714,1.35669029929064
"Argyresthia sp. ABKWR035-07",-0.172433611213655,0.368992329031251,-0.861111954274511,-0.15870443377293,0.669747968010739,1.53085992228525
"Atractodes alpestris",-0.00350118865998684,0.355128707155639,-0.776580250292794,-0.0232845772650054,0.752555393136069,1.52913564342886
"Atractodes sp. jft03",0.149470481027064,0.337932733562033,-0.621811033785399,0.124666028346359,0.830275353317798,1.4520863871032
"Atrichopogon sp. BOLD:AAG6519",0.0659062681787574,0.367924312583119,-0.731670236131477,0.0616865691902904,0.816309663231265,1.54797989936274
"Atrichopogon sp. BOLD:AAG6543",0.114147159626674,0.361023716972611,-0.719832954347251,0.0785906013108207,0.850438426284682,1.57027138063193
"Attulus striatus",0.0322734375710282,0.333044894293246,-0.72015380130652,0.0311478832322013,0.764506466151057,1.48466026745758
"Baccha elongata",-0.104253573645093,0.355847443637778,-0.82993937930496,-0.0831046466952628,0.684579770212881,1.51451914951784
