"","mean occupancy","sd occupancy","q025","q5","q975","diff"
"Abia americana",0.211791357222966,0.25373282406038,0.00175050413384951,0.092611114883156,0.900410808653295,0.898660304519445
"Ablabesmyia monilis",0.143630386031757,0.108896918976536,0.0310644676484729,0.117096153874314,0.457568725948208,0.426504258299735
"Ablabesmyia sp. BOLD:ACG3931",0.379656072570882,0.260108509188641,0.0508564051288439,0.320326866352784,0.93819656042898,0.887340155300136
"Ablabesmyia sp. BOLD:ACT7851",0.198696088512888,0.247273765843466,0.00157867011826539,0.0868566645949804,0.892642837936898,0.891064167818632
"Acartophthalmus nigrinus",0.0935840391561472,0.110690275477999,0.0070901129043067,0.0602319664884818,0.416336640337271,0.409246527432964
"Achorotile sp. BOLD:ACU1499",0.217211183215704,0.254581694551459,0.00222517341671956,0.0947581561070519,0.882851529680135,0.880626356263416
"Aclastus sp. BOLD:AAA9140",0.314851674645484,0.267679949583596,0.0201007124309668,0.216406952219331,0.933679232403633,0.913578519972667
"Acleris schalleriana",0.301323353862778,0.259393357159718,0.0196760589023049,0.209346040726109,0.919874445330138,0.900198386427833
"Aclista sp. SlikokOtu1060",0.306872420415259,0.262197621186989,0.0189101293094615,0.220872021841505,0.936530750491374,0.917620621181913
"Acrididae sp. SlikokOtu1901",0.180356747902445,0.226307872172511,0.00270334629967761,0.0825419679401134,0.843204201826404,0.840500855526726
"Adelius sp. BOLD:AAG0698",0.246305463933642,0.249908067511403,0.013374575393718,0.140909338296086,0.894818045289533,0.881443469895815
"Aedes abserratus",0.211433766138215,0.257459526779744,0.00251836715271627,0.0912614665713752,0.904585497150323,0.902067129997607
"Aedes sp. BOLD:AAB1098",0.19325823093989,0.236492774696129,0.00239516968569299,0.0869520804222182,0.870901334631069,0.868506164945376
"Aedes sp. SlikokOtu1256",0.191930476283389,0.230895409284894,0.00248493963988029,0.0865067208482661,0.836130275197552,0.833645335557672
"Aedes sp. SlikokOtu1817",0.178785425284998,0.221606632036013,0.00189685885355534,0.0832218160876887,0.828898237136232,0.827001378282676
"Agromyzidae sp. BOLD:AAV4890",0.308594093972914,0.267784165856374,0.0167120594179291,0.212411375729026,0.931488779118957,0.914776719701028
"Agromyzidae sp. SlikokOtu742",0.18517341938889,0.233177572837217,0.0020228946250105,0.079244811881273,0.841600683581575,0.839577788956564
"Agromyzidae sp. SlikokOtu764",0.208303079880459,0.25259662604231,0.00208062007818507,0.0900619958444954,0.891812198483001,0.889731578404815
"Allantus albolabris",0.194699047738155,0.241307074452519,0.00194273618685096,0.0794236732963406,0.858399759009708,0.856457022822857
"Alliopsis silvestris",0.315349960063303,0.270573375277352,0.0173032208527336,0.220022221513016,0.930932018887578,0.913628798034844
"Allodia czernyi",0.387018265738101,0.263465895428955,0.0455144573952334,0.324553234412859,0.943379865606076,0.897865408210843
"Allodia sp. BOLD:AAG4945",0.320136133613728,0.272671027292041,0.0208108625840926,0.223629515381711,0.936740376409305,0.915929513825212
"Allodia sp. BOLD:ACC5209",0.230262508143856,0.245069720919675,0.0120371641164409,0.121459096377467,0.914156265533995,0.902119101417554
"Allodia sp. BOLD:ACI6426",0.329462208797948,0.254977164262854,0.0341348760440951,0.248893169079344,0.921730211216377,0.887595335172282
"Allodia sp. BOLD:ACJ1830",0.286003689878028,0.2514050184817,0.0192624835867569,0.195437178431837,0.905258040526726,0.885995556939969
"Allodia sp. BOLD:ADN8722",0.190705048661392,0.232124378124094,0.00221936155727877,0.0896846999694147,0.832791950551272,0.830572588993993
"Allodia sp. SlikokOtu1175",0.231513529576422,0.265831468095333,0.00228253596350027,0.109636173737206,0.913630951235056,0.911348415271556
"Alopecosa aculeata",0.187240611689428,0.230807455969763,0.00197936379140276,0.0823837112569047,0.836113474239824,0.834134110448422
"Altica tombacina",0.103751980306475,0.126423764372312,0.00835971511705057,0.063973725107194,0.523492518906676,0.515132803789626
