"LINKTOSPECIMENS","COUNTOFCATALOGEDITEM","PHYLUM","PHYLCLASS","PHYLORDER","FAMILY","GENUS","SCIENTIFIC_NAME"
"https://arctos.database.museum/SpecimenResults.cfm?collection_object_id=28575279","1","Arthropoda","Arachnida","Araneae","Araneidae","Araneus","Araneus marmoreus"
"https://arctos.database.museum/SpecimenResults.cfm?collection_object_id=28573137","1","Arthropoda","Arachnida","Araneae","Araneidae","Araneus","Araneus trifolium"
"https://arctos.database.museum/SpecimenResults.cfm?collection_object_id=28576202","1","Arthropoda","Arachnida","Araneae","Araneidae","Araneus","Araneus yukon"
"https://arctos.database.museum/SpecimenResults.cfm?collection_object_id=28573173,28577268,28577162","3","Arthropoda","Arachnida","Araneae","Araneidae","Araniella","Araniella displicata"
"https://arctos.database.museum/SpecimenResults.cfm?collection_object_id=28571998,28577388","2","Arthropoda","Arachnida","Araneae","Araneidae","Araniella","Araniella proxima"
"https://arctos.database.museum/SpecimenResults.cfm?collection_object_id=28572740,28576930,28575447,28575992,28575263,28576076,28575281,28571916,28574721,28573081,28572412,28575347,28572060,28574955,28577396,28573701,28577438,28574829,28572254,28576764,28573813,28572446,28572562,28572458,28574747,28575369","26","Arthropoda","Arachnida","Araneae","Araneidae","Cyclosa","Cyclosa conica"
"https://arctos.database.museum/SpecimenResults.cfm?collection_object_id=28575341,28573463,28573185","3","Arthropoda","Arachnida","Araneae","Araneidae","Larinioides","Larinioides patagiatus"
"https://arctos.database.museum/SpecimenResults.cfm?collection_object_id=28576542","1","Arthropoda","Arachnida","Araneae","Clubionidae","Clubiona","Clubiona furcata"
"https://arctos.database.museum/SpecimenResults.cfm?collection_object_id=28577094,28574887","2","Arthropoda","Arachnida","Araneae","Clubionidae","Clubiona","Clubiona kulczynskii"
"https://arctos.database.museum/SpecimenResults.cfm?collection_object_id=28572788","1","Arthropoda","Arachnida","Araneae","Clubionidae","Clubiona","Clubiona riparia"
"https://arctos.database.museum/SpecimenResults.cfm?collection_object_id=28574625,28572652,28575407,28577052,28573495,28576906,28577082,28576972,28575333,28576870,28576638,28572204","12","Arthropoda","Arachnida","Araneae","Dictynidae","Dictyna","Dictyna arundinacea"
"https://arctos.database.museum/SpecimenResults.cfm?collection_object_id=28576222","1","Arthropoda","Arachnida","Araneae","Dictynidae","Dictyna","Dictyna brevitarsa"
